title,column-1,category
HowHow美國行S3 #8,78835,2014/6/19
HowHowの訪談時間－小留學生的甘苦談,158753,2014/6/22
HowFun臉書專頁一週年,99632,2014/6/26
美國冷知識2,480812,2014/6/29
大家的日本語 初級 みんなの野々村竜太郎,345734,2014/7/4
HowHow美國行S3 #9,78882,2014/7/10
HowHow美國行S3 #10,72354,2014/7/14
當過兵真的是太棒了,1059912,2014/7/21
神奇小魔術,294580,2014/7/26
四個角落 Four Corners,291412,2014/8/1
HowHow美國行S3 #11,83702,2014/8/9
鬼壓屁床喔,1583196,2014/8/16
HowHow ALS Ice Bucket Challenge,69601,2014/8/19
HowHow美國行S3 #12,128479,2014/8/23
神奇小魔術 2,278808,2014/8/30
妙蛙的種子,422782,2014/9/15
料理美東美西軍《上篇》,270626,2014/9/19
料理美東美西軍《下篇》,142558,2014/9/21
料理美東美西軍《決勝篇+幕後花絮》,96388,2014/9/28
到底放在哪裡,502062,2014/10/5
國慶日快樂你真的快樂嗎,165934,2014/10/10
蠟燭的數學問題,733865,2014/10/18
十萬個為什麼,313620,2014/10/26
HowHow美國行S3 #15,46966,2014/11/3
指屁指！割爆你耳朵,492574,2014/11/10
弱建,188703,2014/11/15
HowHow美國行S3 #16,61456,2014/11/21
HowHow美國行S3 #17,80929,2014/11/26
六歲小孩看品牌,388347,2014/12/2
下載最速傳說《正港奇片 x HowFun如何爽》,338574,2014/12/25
HowHow美國行S4 #1,132721,2015/1/4
肩膀痠痠der,382896,2015/1/12
和韻租車,552616,2015/1/19
化解尷尬小撇步,855973,2015/1/26
囚犯困境 Prisoner's Dilemma,403734,2015/2/8
情人眼裡出西施眼鏡,579820,2015/2/14
過年親戚長輩的問候攻勢,533653,2015/2/19
祕技！防賴床鈴聲,2147784,2015/3/8
ㄐㄊㄧ少年之事件簿,418513,2015/3/31
放羊的小孩,361063,2015/4/1
HowFun / 下雨天留客天,324864,2015/4/13
HowFun / 中華一番之滿清人做菜都假鬼假怪,1593220,2015/4/21
HowFun / 我是媽寶 2.0,973502,2015/5/7
HowFun / 我們畢典要拍什麼 2015,1076666,2015/5/17
HowFun / 我們畢典要拍什麼2015 (幕後花絮),220007,2015/5/24
HowFun / 消失の一塊錢,778860,2015/7/4
HowFun / 夏日10招沁涼大祕技,546835,2015/7/18
HowFun / 筆到底還能幹嘛你說說看啊,472196,2015/8/6
Moment of Note,43141,2015/8/6
爸爸，我想對你說,102615,2015/8/7
HowFun / HowFun要去紐約了啊,118454,2015/8/11
HowFun / HowFun流言終結者之紐約街頭篇,305396,2015/8/17
HowFun / 如何當個稱職的白目觀光客,582924,2015/8/20
HowFun / 國際特務之紐約風暴,447891,2015/8/21
HowFun / 小心坐隔壁の政毅模仁同學,637063,2015/8/25
HowFun / HowHowの農曆七月恐怖小故事們,346602,2015/8/28
HowFun / 簡單的手指小魔術 Simple Finger Trick,243003,2015/9/7
HowFun / 欸我沒抽到宿舍,592808,2015/9/9
HowFun / 真的啦Note 5真的很好用啦,358484,2015/9/13
HowFun / 小明愛自拍,502195,2015/9/15
HowFun / OK好，下一位,688728,2015/9/19
HowFun / 六大系掉手機的反應,556116,2015/9/20
HowFun / 為什麼中秋節要烤肉呢,619167,2015/9/27
HowFun / 如果世界上沒有...,895360,2015/10/3
HowFun / 15秒看懂台灣的金錢外交 Understand the dollar diplomacy of Taiwan in 15 second,320043,2015/10/10
HowFun / 什麼東西用放大鏡照也不會變大？,626933,2015/10/16
HowFun / 不知道為什麼想到點子就會出現電燈泡,343038,2015/10/23
HowFun / 我變獨眼龍了,415520,2015/10/28
HowFun / 只要有心，人人都是＿＿＿,209176,2015/11/6
HowFun / 你可以單腳蹲下再站起來嗎,611769,2015/11/10
HowFun / 忘記按Shift,563872,2015/11/21
HowFun / 住在金山的金先生,679660,2015/11/27
HowFun / comico小劇場,225906,2015/12/2
HowFun / 來跟comico一起互動吧,158505,2015/12/9
HowFun / 腹黑屋老闆，你也挺壞的嘛,236527,2015/12/11
HowFun / 究竟如何觀看comico,247141,2015/12/16
網友瘋傳KKBOX十大密技-{免註冊篇},109103,2015/12/19
HowFun / 工具人小明,585262,2015/12/24
網友瘋傳KKBOX十大密技-{白金會員篇},133095,2015/12/26
網友瘋傳KKBOX十大密技-{Happy Hour篇},88957,2016/1/2
HowFun / 工具人聯盟の叛徒,1483507,2016/1/6
HowFun / 投票高手 Slam Vote,"275,678",2016/1/11
HowFun / 如果不去投票會怎麼樣嗎,298279,2016/1/13
HowFun / 罐頭笑聲,694317,2016/1/22
HowFun / 直接挑戰當面問中國人兩岸敏感議題,3028104,2016/2/1
HowFun / 一起來讓效用極大化吧,294190,2016/2/5
HowFun / 臉書好友日影片 Facebook Friends Day Video,118714,2016/2/6
HowFun / 阿伯的紅包,572308,2016/2/8
HowFun / 這支螢光筆,404996,2016/2/12
HowFun / 溫先生的告白,420303,2016/2/19
HowFun / 愛因斯坦，你有點狂啊,640630,2016/2/26
HowFun / 我在路上遇到皮卡丘 I met a Pikachu,634170,2016/3/11
"HowFun / 師傅，我好冷 Sensei, I am cold",167214,2016/3/25
Howhowの實況初體驗 部落衝突:皇室戰爭,93475,2016/3/30
HowFun / 型男STYLE，今晚你想要哪一道,392041,2016/3/31
HowFun / 大公開!!! 迴紋針的實用小密技,848362,2016/4/6
HowFun / 我爸才是霹靂無敵厲害,429444,2016/4/8
HowFun / 硬幣の魔術,376700,2016/4/11
2600開台之好...好大的豪宅啊!!!,535741,2016/4/13
HowFun / 港片就在你身邊,375381,2016/4/15
HowFun / 一點都不自私的生日願望,442139,2016/4/20
HowHowの小畫家直播,64795,2016/4/21
HowFun / 橘子。,371942,2016/4/29
HowFun / 大班小朋友也想說母親節快樂,325072,2016/5/7
HowFun / 玻璃心HowHow之你覺得我是叔叔還是哥哥,231104,2016/5/11
HowHowの實況遊戲時間 / 返校,78993,2016/5/14
HowFun / 心電感應の魔術,233549,2016/5/20
HowFun / 關羽，你也懂突圍？,791220,2016/5/21
HowHowの實況遊戲時間 / 返校 part 2-2,23890,2016/5/29
HowHowの實況遊戲時間 / 返校 part 2,27483,2016/5/29
HowFun / 星期五請去購物,682411,2016/5/30
HowFun / 逃。Escape,415547,2016/6/3
HowFun / How哥の恐竜,427346,2016/6/5
HowFun / 為什麼端午節要划龍舟呢,601243,2016/6/8
HowFun / 今年來拍鬼店吧 The Shining,343352,2016/6/13
HowHowの實況遊戲時間 / Super Mario,53763,2016/6/21
HowHow日本行 #1,134732,2016/6/22
HowHow日本行 #2,235326,2016/6/23
HowHow日本行 #3,117641,2016/6/24
HowHow日本行 #4,140545,2016/6/25
HowHow日本行 #5,110371,2016/6/27
HowHow日本行 #6,104947,2016/7/7
HowFun / 日本原宿王,467894,2016/7/8
HowFun / 我不是說不要加香菜嗎,819857,2016/7/10
HowFun / 大班小朋友看冰原歷險記,207655,2016/7/12
HowFun / 如何打一手好的保齡球，並且成功藉此釣到妹子,1177042,2016/7/15
HowFun / 跟小朋友去看電影啦,499325,2016/7/19
HowFun / 搶救畢業證書大作戰,972949,2016/7/22
HowFun / HowHow郵輪行,224845,2016/7/31
HowFun / 搶救畢業證書大作戰 幕後花絮,207907,2016/8/1
HowFun / 我是醫生啦,1598633,2016/8/4
HowFun / 為什麼父親節是八月八日呢?,413199,2016/8/7
Howhowの實況小遊戲時間 白貓網球,37996,2016/8/12
HowFun / 水中開箱!!!,177737,2016/8/12
HowFun / 遊戲，換你抽牌啦！,1090826,2016/8/16
HowFun / HowHow的農曆七月小故事 2016,600946,2016/8/19
HowFun / 小鳥。,314340,2016/8/24
HowFun / 嗚嗚嗚，哆啦A夢～,1087867,2016/8/30
HowFun / Note7 之我到底看了三小短劇,752679,2016/9/2
HowFun / 我在VR裡面，找到了友情,593584,2016/9/9
HowFun / 三國時期的大兵日記,1564700,2016/9/11
HowFun / 如何偷偷在宿舍拔粉刺,842537,2016/9/13
HowFun / 工具人后羿,675755,2016/9/15
HowHowの實況時間 / 皇室戰爭超爆裂聯賽開打！,66202,2016/9/27
HowFun / 韓星的愛心手勢,764166,2016/10/1
HowFun / 如何變成億萬富翁,675373,2016/10/2
HowFun / 一個三兄弟折筷子的故事,493220,2016/10/4
HowFun / 突襲秘密基地！,452404,2016/10/6
HowFun / 恩愛的阿瓶和阿蓋,566932,2016/10/12
HowFun / 未知號碼,531614,2016/10/26
HowFun / 來去沖繩囉~,359101,2016/10/29
HowFun / 只要撿到紅包，就可以冥婚唷,617871,2016/11/1
HowFun / 小朋友，你們有沒有帶直笛呢?,549508,2016/11/4
HowFun / 單身左手,841122,2016/11/11
Howhowの實況小遊戲時間 《幻想神域：啟源女神》,52498,2016/11/12
HowFun / 不不不，國王還是給你當好了,1066845,2016/11/25
HowFun / 韓國好好吃,405545,2016/12/2
HowFun / 這是一個我第一次走紅毯的故事,471475,2016/12/3
Howhowの實況小遊戲時間 《沉睡森林》,41110,2016/12/8
HowFun / 邊緣人聖誕節也可以玩交換禮物嗎? feat. 阿滴英文/壹加壹/林辰Buchi,1662792,2016/12/14
HowFun / 敢問你聽過石破天嗎?,1082394,2016/12/16
HowFun / 用交換禮物拍小短片!!!,447829,2016/12/18
Howhowの實況小遊戲時間 《召喚圖板》,37302,2016/12/19
Howhowの實況小遊戲時間 《迷霧編年史》,21504,2016/12/23
崩╰(〒皿〒)╯潰,367181,2016/12/27
我練很久,362245,2016/12/29
我練很久的幕後花絮,380774,2016/12/30
HowFun / HowHowの2016大回顧,262633,2016/12/31
HowFun / 戰慄の咖啡館,522960,2017/1/3
HowFun / 廢宅的房間，臭了嗎？,910837,2017/1/5
HowFun / 蒼龍一擊,631941,2017/1/7
HowFun / 眼鏡，才是本體啊,801749,2017/1/9
Howhowの實況小遊戲時間 《妃十三學園》,46116,2017/1/20
HowFun / Note5的人生小劇場,568506,2017/1/23
HowHowの實況小遊戲時間 《Final Fantasy Brave Exvius》,44247,2017/1/24
HowFun / 單身魔法師,703656,2017/1/25
Howhowの實況小遊戲時間 - 再來挑戰《召喚圖板》,30125,2017/1/26
HowFun / 吉祥話，真的吉祥嗎?,413730,2017/1/28
HowHowの小廚房 / 重現彗星炒飯！,1535529,2017/2/2
Howhowの實況小遊戲時間 -《聖光之誓Valiant Force》,34452,2017/2/8
HowHowの小廚房 / 愛の臉拓巧克力,662311,2017/2/9
HowFun / Note5哥走啦去健檢啦,278029,2017/2/12
情人節讓HowHow來幫你告白吧!!!,297705,2017/2/13
HowHowの小廚房 / 超低成本! 烈冰鮮雕山!!!,927899,2017/2/16
HowHowの小廚房 / 黃金開口笑屁喔,887161,2017/2/23
HowHowの小廚房 / 沒人想試吃! 邊緣料理貓耳朵,785586,2017/3/2
HowFun / 小美，這是給妳的驚喜,615739,2017/3/6
HowFun / 爸爸的墨香,521120,2017/3/14
HowFun / 先生，你水潑到我鞋子上了。,3227970,2017/3/16
被台詞戳到笑點的阿嬤 (潑水歌幕後花絮),835141,2017/3/19
HowFun / 如果曹操是主角,985241,2017/3/22
HowHow挑戰傳說對決,269309,2017/3/25
HowFun / 三國的雜魚們,716936,2017/3/31
不想活了，嗚嗚,730021,2017/4/1
HowHowの小廚房 / 欸欸皇帝快吃鳳凰水晶啦！,859228,2017/4/6
HowFun / 新來的筆電,767388,2017/4/10
HowFun / 阿伯的冷笑話 feat. 洪都拉斯,920842,2017/4/11
HowFun / 來挖時光膠囊,445894,2017/4/12
HowHowの小廚房 / 來幫李嚴做醬汁吧！,698311,2017/4/13
HowFun / 關將軍壓爆氣泡紙吧,438247,2017/4/15
HowFun / 邊緣小孩拯救世界吧,416300,2017/4/17
Oral-B 電動牙刷,304994,2017/4/19
HowHowの小廚房 / 來丟麵包超人的頭吧!!!,914278,2017/4/20
HowFun / 一個有翅膀的故事,596619,2017/4/25
HowHowの小廚房 / 挑戰大魔術熊貓麻婆豆花,682037,2017/4/27
HowHowの遊戲實況 聖鬥士星矢: 銀河之魂,62101,2017/4/28
HowFun / 你才禿頭，你全家都禿頭！,696074,2017/5/1
你今天浩劫重生了嗎？【前導影片】,210054,2017/5/2
HowFun / 住手，很乾。,698764,2017/5/3
HowHowの小廚房 / 彈跳吧！湯匙,817928,2017/5/4
HowFun / 木暮，沒人守你！快投！,776036,2017/5/10
HowFun / 小朋友跟媽媽說母親節快樂 2017,216461,2017/5/14
HowFun / 用Tab S3去身歷其境吧,284199,2017/5/16
HowFun / HowHowの省水小妙計,1253231,2017/5/25
HowFun / 端午節的雞蛋，立起來了。,688272,2017/5/29
HowFun / 男生女生配,727423,2017/6/7
HowFun / 大腸麵線加香菜,1045540,2017/6/13
HowFun / 燃燒吧！赤壁之戰！,487627,2017/6/16
HowFun / 男人就是簡單！直白！,1921831,2017/6/22
HowFun / 第八個沒有被選召的孩子,308884,2017/6/27
HowFun / 我們畢典之後要做什麼,838762,2017/7/6
HowHowの小廚房 / 殺死芒果的兇手，就是你！,792864,2017/7/20
HowFun / 爸爸的鬍子會講話,521955,2017/7/21
HowFun / 學長，一起去甲子園吧！,599879,2017/7/23
HowHowの遊戲時間 / 皇室戰爭2V2 (摸使x小熊x丁特xHowHow),145174,2017/7/24
HowFun / 老師，你根本不懂胖虎！,1384464,2017/7/26
HowHowの小廚房 / 百人料理！宇宙大燒賣！,713934,2017/7/27
HowFun / 台北！我的主場！feat. 最狂阿伯柯P,1779199,2017/7/28
HowFun / 被小美甩了。,734061,2017/8/3
HowFun / 醫生！你變馬賽克了啦,698232,2017/8/4
HowFun / 我的爸爸,512331,2017/8/8
HowFun / 戰男女囉,940212,2017/8/9
HowFun / 小明真叛逆,1337718,2017/8/12
HowFun / 人帥真好，人醜性騷擾,1218790,2017/8/13
HowFun / 後宮拔粉刺,695389,2017/8/15
HowHowの業配之路訪談,621119,2017/8/16
欸欸我在紐約開箱 feat. Samsung Galaxy Note8,204728,2017/8/24
HowFun / 移動的魔幻，大衛不來How @ NYC,696638,2017/8/29
HowFun / 爸爸我們真的不會飛啊啾啾,878217,2017/8/30
HowFun / 欸我手指卡在椅子洞了,719818,2017/9/4
HowFun / 初次約會的全攻略！,788003,2017/9/6
HowFun / 當殭屍，好餓。,1035018,2017/9/12
HowFun / 決戰！S彎道,599102,2017/9/18
HowFun / 你腦袋才裝鉛啦！,1827715,2017/9/19
HowFun / 欸看你的Note8好快！,411938,2017/9/21
HowFun / 兩個比一個還要強啊！,811302,2017/9/26
HowFun / 直接業配攻擊網友本體,1029727,2017/9/27
HowFun / 他是我室友，文青。,884057,2017/9/28
HowFun / 這就是大人的滋味！,1164975,2017/9/29
HowFun / 每天來點負能量 feat. 每天來點負能量,816479,2017/9/30
HowFun / 必殺！影分身開球！,633355,2017/10/3
HowFun / 農夫的兒子不想種田,930985,2017/10/4
HowFun / 今天的我，沒有極限！,899308,2017/10/7
HowFun / 師父，教我武功吧！,495068,2017/10/17
HowFun / 阿明艦長帶你飛～,1716108,2017/10/20
衝吧！地表最強小學生！(2017 Redbull皂飛車),630890,2017/10/22
HowFun / 奪魂鋸屁喔。,801018,2017/10/25
HowFun / 這影片暗藏玄機！,698299,2017/10/26
HowFun / 激訪索爾、浩克、導演,1037526,2017/10/27
HowFun / 出現了！是怪盜基拔！,681336,2017/10/28
HowFun / HowHowの小幼兒大學堂,322674,2017/10/31
去大阪愁眉苦臉的。,325127,2017/11/11
HowFun / 快點啦！要點什麼啦！,520242,2017/11/21
HowFun / 不小心愛上總裁,487316,2017/11/22
畢業十週年之班牌被幹的故事,564504,2017/11/24
HowFun / 詐光你的尾牙錢 feat. 上班不要看,1045996,2017/11/29
HowFun / 遇見賣紅茶的阿婆,744565,2017/12/3
HowFun / 沒自信沒自信沒自信,631868,2017/12/4
HowFun / 台北的聖誕節，好冷。,442923,2017/12/5
HowFun / 今天要來挑戰女網友的要求！,660553,2017/12/6
七月半樂團初登場! 蔡阿嘎、馬叔叔、阿傑、蔡哥、HowHow,220068,2017/12/7
HowFun / 收到聖誕老人的啤酒,589469,2017/12/11
HowFun / 讓我幫你急救吧,1114593,2017/12/12
HowFun / 那些年，天堂。,945196,2017/12/21
HowFun / HowHowの小廚房之勞工的心聲,647319,2017/12/25
HowFun / 2017 Google年度搜尋關鍵字,534370,2017/12/31
Howfun / 喔喔喔我出書了啦!!!!!,619942,2018/1/2
HowFun / 國軍弟兄們，上戰場囉！,2555636,2018/1/5
HowFun / 突然襲來的閃光,570550,2018/1/15
HowFun / 喝咖啡真的帥,977832,2018/1/16
HowFun / 過年送禮，就是戰爭!!!,1224535,2018/1/18
HowFun / 阿明的作文,859216,2018/1/31
HowFun / 公主，這是你的襪子嗎？,712594,2018/2/5
HowFun / 鎮上居民的困擾,1087743,2018/2/9
Howfun / 叫媽媽，好難。,1137384,2018/2/12
2018 情人節前夕，HowHow幫你告白啦！,231756,2018/2/13
2018 情人節前夕，HowHow幫你告白啦！,155880,2018/2/13
HowFun / 走味的二分之一,1397623,2018/2/14
崩╰(〒皿〒)╯潰，跟小朋友一起開箱吧！,649685,2018/2/15
HowFun / 包給爸媽的紅包,526683,2018/2/16
Magic~,427379,2018/2/17
HowFun / 奮青，好難。,773755,2018/2/21
《How孩子不要看》芒果冰淇淋 #1 我想當YouTuber啦,562447,2018/3/2
HowFun / 把初音納入後宮吧！,432789,2018/3/3
HowFun / 阿明臉長得很像風箏,551994,2018/3/4
令人忘卻一切煩惱的大海,323299,2018/3/12
《How孩子不要看》芒果冰淇淋 #2 不要霸凌啦,391656,2018/3/16
HowFun / 小美的屁股,599708,2018/3/17
HowFun / How哥跑去代言了啦！,2065423,2018/3/18
來挑戰熊大王國啦～,89390,2018/3/30
HowFun / 我也想爬富士山,666581,2018/3/30
一起逮捕樂高小偷吧！(拍攝樂高廣告@馬來西亞),457623,2018/3/31
HowFun的新夥伴！,471077,2018/4/1
HowFun / 麻將界不敗傳說,853555,2018/4/3
HowFun / 阿明你是在小聲什麼啦！,617945,2018/4/4
HowFun / How哥的才藝表演,1114181,2018/4/9
HowFun / 遇見怪人戰隊,622349,2018/4/16
HowFun / 爆雷機歪郎,911282,2018/4/17
HowFun / 我也想唱How哥宇宙啦,957850,2018/4/20
HowFun / 十年前的故事。,521803,2018/5/4
HowFun / 去南極找企鵝囉,600614,2018/5/5
《懷舊星期四》猜猜這是哪些細漢のYouTuber們？ feat. 一堆人不想爆雷,1468936,2018/5/10
HowFun / 是美人魚!!!,522796,2018/5/11
HowFun / 啊，跑去賣車了。,814233,2018/5/15
HowFun / Yanny、Laurel之亂,364398,2018/5/18
HowFun / 厭世小魔男,823812,2018/5/22
HowFun / 開同學會囉,544539,2018/5/23
HowFun / 我是黃金比利,758620,2018/5/25
HowFun / 決戰盜版How哥,1035890,2018/5/27
吃了絕對會變裸體的超辣刈包【謎其林三星主廚食堂】,657304,2018/5/31
阿明的衣服很臭 / HowFun,586159,2018/6/4
多喝水才能沒極限!!! 師傅，教我翻轉瓶子吧！/ HowFun,966305,2018/6/5
HowFun / How哥踢進世界盃了,521571,2018/6/6
阿昊英文｜指考必備!! 超強萬用單字,832723,2018/6/14
HowFun / 老師，我想要格鬥,691279,2018/6/15
HowFun / 這就是當YouTuber生活的一天！ (大概啦..),741200,2018/6/18
HowFun / 最強漁師，長野昊!!!,575059,2018/6/19
HowFun / 我爸是超能先生啦,687500,2018/6/20
沒事不要挑戰超辣刈包，小心裸體 [謎其林三星主廚試鍊篇],430571,2018/6/21
HowFun / 傳統什麼的，通通給我打破！,1556859,2018/6/22
《How孩子不要看》芒果冰淇淋 #3 改變世界吧年輕人！,293322,2018/6/23
HowFun / 在台中綠川遇見真命天女 feat 白癡公主、上班不要看,497131,2018/6/26
突擊金城武拍片 / 蔡阿嘎10週年模仿大賽,309024,2018/6/28
HowFun / 不要在那邊講幹話！,484239,2018/6/30
HowFun / 我是美少年,699001,2018/7/6
HowFun / 我要娶孫權的妹妹，嘿嘿嘿嘿嘿,843394,2018/7/8
HowFun / 多10%了啦！,904367,2018/7/9
HowFun / 決戰宿營！我這關是支援前線！,554923,2018/7/10
HowFun / 一日大頭佛！有人能從聲音認出HowHow嗎,645280,2018/7/11
HowFun / 讓我一個人靜一靜,589392,2018/7/12
HowFun / 我也想跳起來變圈圈啦,711111,2018/7/18
HowFun / 一起正大光明尾隨學妹吧,495685,2018/7/20
HowFun / 我每天都被自己帥醒。,420019,2018/7/24
HowFun / 我想跟學妹親嘴,463883,2018/7/25
HowFun / 神秘轉學生，雷包阿明,962542,2018/7/27
HowFun / 我是金屬咖我生來顛覆,821239,2018/7/28
HowFun / 霹靂霹靂屌,672148,2018/8/8
HowFun / 我兒子屌爆了,1013656,2018/8/9
HowFun / 你有玩過海龜湯嗎?,687937,2018/8/10
HowFun / 一言不合就組團,745530,2018/8/11
HowFun / 來選畢典代表吧！,512440,2018/8/13
HowFun / 好無聊哦不想拍廢片啦！,867212,2018/8/15
HowFun / 永遠排不完的骨牌地獄,504396,2018/8/19
HowFun / 愛情的絕配下午茶，但縮圖是熱狗,774457,2018/8/23
HowFun / 最好啦！阿明被學妹告白了？,606774,2018/8/26
HowFun / 不准給我喝水，喝J格啦！,737478,2018/8/28
芒果冰淇淋 #4 大人看的動漫 《How孩子不要看》,318921,2018/8/31
HowFun / 可惡，睡覺被偷拍了啦,558013,2018/9/3
HowFun / 挑戰竹中搶便當傳說！HowHow能搶到便當嗎？,786324,2018/9/5
HowFun / 有夠假！真男人直接就來真的,385455,2018/9/7
做出阿明的味道 ft. 上班不要看【職人の大挑戰 #1】,805652,2018/9/14
HowFun / 這小子一臉就是寫著想喝我奶等等這是不是有點標題殺人 ft. 白癡公主,687452,2018/9/17
HowFun / 氯化鈉學壞了啦！,705071,2018/9/20
HowFun / 壞人什麼的我最討厭了啦,728273,2018/9/22
HowFun / 喂How哥，太不費力了吧！,539932,2018/9/24
伐木工班長教你如何“伐木” ，體驗中秋經典習俗 / HowFun,637559,2018/9/24
HowFun / 以為去長灘島度假，結果被噴到天上,383033,2018/9/28
HowHowの畢業旅行,218896,2018/9/30
HowFun / 這些都是睡著的受害者嗎？,1063657,2018/10/5
HowFun / HowHow無預警擺攤，結果根本沒人理？,1876913,2018/10/10
HowFun / How先生，你不能再拖稿休刊了啦！,654249,2018/10/16
HowFun / 這影片製作人瘋了吧？ 穿輕羽絨怒騎250公里去雲林！,1187646,2018/10/17
HowFun / 準備參加大逃殺！來特訓吧！,310364,2018/10/20
HowFun / 我是躲貓貓大師,653641,2018/10/21
HowFun / 我在此宣布，林宥嘉正式加入HOW哥宇宙。,1621805,2018/10/25
HowFun / 三刀流肉燥麵,1126865,2018/10/30
看～藍亦明你很其邁欸《HowFun工作室變裝趴》,443384,2018/10/31
HowFun / 小美終於當主角了,678131,2018/11/3
HowFun / 明星高中大亂鬥 《上集》feat. 呱吉、啾啾鞋、Joeman、黃大謙、星培、林辰、蔡哥,3102584,2018/11/4
HowFun / 哈哈哈 哈 哈哈 口合口合口合,759826,2018/11/5
HowFun / 明星高中大亂鬥PK淘汰賽《中集》feat. 呱吉、啾啾鞋、Joeman、黃大謙、星培、林辰、蔡哥,1494697,2018/11/11
HowFun / 米奇冷知識。米奇耳朵裡面也有腦袋？,426637,2018/11/13
HowFun / 平民料理大對決！誰才是能讓老饕拜倒的高CP值平民料理？,583019,2018/11/14
HowFun / 90萬訂閱QA！How哥你要結婚沒？ feat. 上班不要看,1236665,2018/11/15
HowFun / 蛤? 要找我當武林盟主喔 feat 木曜四超玩、邰哥,403607,2018/11/16
HowFun / 公主，妳平常都在幹嘛啊？,930234,2018/11/19
